Label	qgrs conservation	region	tetrads	gscores	total mrna	total qgrs	total conserved qgrs	%conserved	average conserved qgrs	population mean	population std	z-score	signficant (alpha = 0.05)	-----------------------------------
All Mrna - 5Prime	H>= 90.0 	5-UTR 	T=2+	17+	16694.0	58213.0	41500.0	71.3%	2.4859230861387327	2.485923086138741	3.3645691256651755	-2.5078084806722636E-15	NO
G Content: >0%	H>= 90.0 	5-UTR 	T=2+	17+	16694.0	58213.0	41500.0	71.3%	2.4859230861387327	2.485923086138741	3.3645691256651755	-2.5078084806722636E-15	NO
G Content: >5%	H>= 90.0 	5-UTR 	T=2+	17+	16694.0	58213.0	41500.0	71.3%	2.4859230861387327	2.485923086138741	3.3645691256651755	-2.5078084806722636E-15	NO
G Content: >10%	H>= 90.0 	5-UTR 	T=2+	17+	16694.0	58213.0	41500.0	71.3%	2.4859230861387327	2.485923086138741	3.3645691256651755	-2.5078084806722636E-15	NO
G Content: >15%	H>= 90.0 	5-UTR 	T=2+	17+	16683.0	58212.0	41499.0	71.3%	2.487502247797159	2.485923086138741	3.3645691256651755	4.6935033861298953E-4	NO
G Content: >20%	H>= 90.0 	5-UTR 	T=2+	17+	15099.0	55340.0	39308.0	71.0%	2.6033512153122724	2.485923086138741	3.3645691256651755	0.03490138700904703	NO
G Content: >25%	H>= 90.0 	5-UTR 	T=2+	17+	8232.0	32503.0	22385.0	68.9%	2.7192662779397474	2.485923086138741	3.3645691256651755	0.06935306813019462	NO
G Content: >30%	H>= 90.0 	5-UTR 	T=2+	17+	2313.0	10096.0	6637.0	65.7%	2.869433635970601	2.485923086138741	3.3645691256651755	0.113985041028408	NO
G Content: >35%	H>= 90.0 	5-UTR 	T=2+	17+	129.0	501.0	338.0	67.5%	2.62015503875969	2.485923086138741	3.3645691256651755	0.0398957333338816	NO
G Content: >40%	H>= 90.0 	5-UTR 	T=2+	17+	0.0	0.0	0.0	�	NaN	2.485923086138741	3.3645691256651755	NaN	NO
G Content: >45%	H>= 90.0 	5-UTR 	T=2+	17+	0.0	0.0	0.0	�	NaN	2.485923086138741	3.3645691256651755	NaN	NO
G Content: >50%	H>= 90.0 	5-UTR 	T=2+	17+	0.0	0.0	0.0	�	NaN	2.485923086138741	3.3645691256651755	NaN	NO
-----------------------------------
